Name,Batch size,Epochs,Learning rate,Seed,P,R,ACC,F1-weighted,Decay
results_2025-05-15_12-04,32,10,2e-05,43,0.6150207677381635,0.6163021047763637,0.7323091247672253,0.6156526292698693,0 
results_2025-05-16_14-57,64,10,2e-10,43,0.5996426755078114,0.6045967006285493,0.7211359404096834,0.6019571948652859,0
results_2025-05-18_19-31,16,25,2e-05,43,0.6183212881561887,0.5998674121583941,0.7355679702048417,0.6082492260833309,0
results_2025-05-19_08-10,16,5,1e-05,43,0.5762211271940364,0.6176080869540669,0.7034450651769087,0.5918749888744891,0
results_2025-05-19_08-25,32,5,1e-05,43,0.5615760537314284,0.6300658903011668,0.6876163873370578,0.5812443560016961,0
results_2025-05-19_11-09,32,10,3e-05,43,0.6183801287212964,0.6120659704893044,0.7348696461824954,0.615121265625529,0
results_2025-05-19_11-39,32,10,3e-05,43,0.6292181249337566,0.6246921237711699,0.7425512104283054,0.6269031790021296,0
results_2025-05-19_11-56,16,10,5e-06,43,0.8611238390488539,0.860743368883787,0.8608150470219436,0.8609055462353906,0
results_2025-05-19_17-47,32,10,3e-05,43,0.05,0.751705028835642,0.7550497508881345,0.774454523167443,0.753278980390548
